Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Status,SMS,Payment,Deposit,Bonus,Max bet,WG,Groups,Max win
1208960062974940,2024-12-11,,2024-12-11,Ceasar casino,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1000.00,1000.00,,,Ontario LICENSE only,
1208960069015069,2024-12-11,,2024-12-11,Betsafe,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1000.00,1000.00,8 or 0.5 per line,40xB,Ontario LICENSE only,
1208960069015084,2024-12-11,,2024-12-11,Fan duel,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1000.00,1000.00,,,Ontario LICENSE only,
1208960069145594,2024-12-11,,2024-12-11,Fitzdares,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,,,Ontario LICENSE only,
1208960069145607,2024-12-11,,2024-12-11,Stardust,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,,35xB,Ontario LICENSE only,
1208960069274525,2024-12-11,,2024-12-11,Pokerstars,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,,35xB,Ontario LICENSE only,
1208960069274539,2024-12-11,,2024-12-11,Powerplay,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,,35xB,Ontario LICENSE only,
1208960069274553,2024-12-11,,2024-12-11,Betriver,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,,35xB,Ontario LICENSE only,
1208960069388612,2024-12-11,,2024-12-11,Casumo,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,,35xB,Ontario LICENSE only,
1208960069388626,2024-12-11,,2024-12-11,Casumo 1,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,,35xB,Ontario LICENSE only,
1208960069502454,2024-12-11,,2024-12-11,Northstar,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1000.00,1000.00,,30xB,Ontario LICENSE only,
1208960069502468,2024-12-11,,2024-12-11,Titan play,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1000.00,1000.00,,30xB,Ontario LICENSE only,
1208960069628680,2024-12-11,,2024-12-11,pointbet,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,200.00,250.00,,30xB,Ontario LICENSE only,
1208960067909564,2024-12-11,,2024-12-11,Lucky days,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,500.00,500.00,5,30xDB,Ontario LICENSE only,
1208960150033231,2024-12-11,,2024-12-11,Sport interaction,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,3000.00,3000.00,,30xB,Ontario LICENSE only,
1208960150033245,2024-12-11,,2024-12-11,Leovegas,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,3000.00,3000.00,,30xB,Ontario LICENSE only,
1208960155388191,2024-12-11,,2024-12-11,Betano,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,3000.00,3000.00,,10xb,Ontario LICENSE only,
1208960155388205,2024-12-11,,2024-12-11,bwin,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,400.00,400.00,,,Ontario LICENSE only,
1208960155435484,2024-12-11,,2024-12-11,Come on,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1000.00,1500.00,7.5,,Ontario LICENSE only,
1208960155435498,2024-12-11,,2024-12-11,Spin away,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1500.00,1500.00,5,,Ontario LICENSE only,
1208960155435512,2024-12-11,,2024-12-11,Toonie bet,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,1000.00,1000.00,7.5,,Ontario LICENSE only,
1208960155488249,2024-12-11,,2024-12-11,Neobet,Untitled section,,,,,,—,Main Project CAD,,,,,,CARD,400.00,400.00,7.5,,Ontario LICENSE only,
