Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Priority,status,Payment,Deposit,Bonus,Max bet,WG,Groups,Max win,Paid with...,Balance,Received
1208952401473965,12/11/2024,,12/11/2024,pledoo,Main project IRE,,,,,,,Main project IRE,,,,Medium,Testing,SKRILL,200,200,3,,Momus2006 N.V,,,,
1208952401473977,12/11/2024,,12/11/2024,pledoo 2,Main project IRE,,,,,,,Main project IRE,,,,Medium,Testing,SKRILL,200,150,3,,Momus2006 N.V,,,,
1208952401473981,12/11/2024,,12/11/2024,pledoo 3,Main project IRE,,,,,,,Main project IRE,,,,Medium,Testing,SKRILL,200,100,3,,Momus2006 N.V,,,,
1208952401473983,12/11/2024,,12/11/2024,pledoo 4,Main project IRE,,,,,,,Main project IRE,,,,Medium,Testing,SKRILL,200,300,3,,Momus2006 N.V,,,,
1208952399496217,12/11/2024,,12/11/2024,Casoo,Main project IRE,,,,,,—,Main project IRE,,,,High,,SKRILL,200,200,5,, Fortuna Games N.V,,,,
1208952401473959,12/11/2024,,12/11/2024,Blitzbet,Main project IRE,,,,,,—,Main project IRE,,,,,Testing,SKRILL,200,200,5,, Fortuna Games N.V,,,,
1208952401473964,12/11/2024,,12/11/2024,Megarich,Main project IRE,,,,,,—,Main project IRE,,,,,Testing,SKRILL,200,200,5,, Fortuna Games N.V,,,,
1208952401473937,12/11/2024,,12/11/2024,Casoo 2,Main project IRE,,,,,,—,Main project IRE,,,,High,,SKRILL,200,200,5,, Fortuna Games N.V,,,,
1208952401473943,12/11/2024,,12/11/2024,Casoo 4,Main project IRE,,,,,,—,Main project IRE,,,,High,,SKRILL,200,200,5,, Fortuna Games N.V,,,,
1208952401473941,12/11/2024,,12/11/2024,Casoo 3,Main project IRE,,,,,,—,Main project IRE,,,,High,,SKRILL,200,100,5,, Fortuna Games N.V,,,,
1208952399496219,12/11/2024,,12/11/2024,10bet,Main project IRE,,,,,,—,Main project IRE,,,,,,,500,250,,,,,,,
1208952399496221,12/11/2024,,12/11/2024,Rollblock,Main project IRE,,,,,,—,Main project IRE,,,,,Ready to play,,,,,,Crypto ONLY,,,,
