Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Priority,status,Payment,Deposit,Bonus,Max bet,WG,Groups,Max win,Paid with...,Balance,Received
1208964866953540,2024-12-12,,2024-12-12,,Main project IRE,,,,,,—,Main project AUS,,,,,,CARD,,,,,,,,,
1208964866953542,2024-12-12,,2024-12-12,10bet,Main project IRE,,,,,,—,Main project AUS,,,,,,,500.00,250.00,,,,,,,
1208964866953544,2024-12-12,2024-12-12,2024-12-12,Rollblock,Main project IRE,,,,,,—,Main project AUS,,,,,Completed,,,,,,Crypto ONLY,,,,
1208964866953546,2024-12-12,,2024-12-12,Bitpanda,Main project IRE,,,,,,—,Main project AUS,,,,,,,,,,,Crypto ONLY,,,,
1208964866953548,2024-12-12,,2024-12-12,Mega dice,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,,,,,,Crypto ONLY,,,,
1208965044768157,2024-12-12,,2024-12-12,Seven casino,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,CRYPTO,500.00,500.00,,10xb,Crypto ONLY,,,,
1208965046661294,2024-12-12,,2024-12-12,Bet US,Main project IRE,,,,,,—,Main project AUS,,,,,,CRYPTO,500.00,1250.00,,,Crypto ONLY,,,,
1208965046661307,2024-12-12,,2024-12-12,Power up,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208965046746845,2024-12-12,,2024-12-12,5 Gringos,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",300.00,300.00,5,40xB,Liernin Enterprises LTD,,,,
1208965046746861,2024-12-12,,2024-12-12,Boomerang,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208965046838000,2024-12-12,,2024-12-12,Power up 2,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208965046838016,2024-12-12,,2024-12-12,Power up 3,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",100.00,100.00,5,40xB,Liernin Enterprises LTD,,,,
1208965046927072,2024-12-12,,2024-12-12,Power up 4,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208965046927088,2024-12-12,,2024-12-12,Energy casino,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,200.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208965047030639,2024-12-12,,2024-12-12,LV bet,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,200.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208964922216351,2024-12-12,,2024-12-12,Energy casino 1,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,100.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208964925046952,2024-12-12,,2024-12-12,Lvbet 2,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,100.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208964925046968,2024-12-12,,2024-12-12,,Main project IRE,,,,,,—,Main project AUS,,,,,,,,,,,Next to You B.V,,,,
1208964925046976,2024-12-12,,2024-12-12,Betway,Main project IRE,,,,,,—,Main project AUS,,,,,Testing,"SKRILL CARD, Mifinity, Luxon",50.00,50.00,7.5,30xB,Betway LTD,,,,
