Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Priority,status,Payment,Deposit,Bonus,Max bet,WG,Groups,Max win,Paid with...,Balance,Received
1208964866953524,2024-12-12,,2024-12-12,,Main project IRE,,,,,,—,Main project SWISS,,,,,,CARD,,,,,,,,,
1208964866953526,2024-12-12,,2024-12-12,10bet,Main project IRE,,,,,,—,Main project SWISS,,,,,,,500.00,250.00,,,,,,,
1208964866953528,2024-12-12,2024-12-12,2024-12-12,Rollblock,Main project IRE,,,,,,—,Main project SWISS,,,,,Completed,,,,,,Crypto ONLY,,,,
1208964866953530,2024-12-12,,2024-12-12,Bitpanda,Main project IRE,,,,,,—,Main project SWISS,,,,,,,,,,,Crypto ONLY,,,,
1208964866953532,2024-12-12,,2024-12-12,Mega dice,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,,,,,,Crypto ONLY,,,,
1208964921940974,2024-12-12,,2024-12-12,Seven casino,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,CRYPTO,500.00,500.00,,10xb,Crypto ONLY,,,,
1208964923643235,2024-12-12,,2024-12-12,Bet US,Main project IRE,,,,,,—,Main project SWISS,,,,,,CRYPTO,500.00,1250.00,,,Crypto ONLY,,,,
1208964923643248,2024-12-12,,2024-12-12,Power up,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208964923719283,2024-12-12,,2024-12-12,5 Gringos,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",300.00,300.00,5,40xB,Liernin Enterprises LTD,,,,
1208964923719299,2024-12-12,,2024-12-12,Boomerang,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208964923799866,2024-12-12,,2024-12-12,Power up 2,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208964923799882,2024-12-12,,2024-12-12,Power up 3,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",100.00,100.00,5,40xB,Liernin Enterprises LTD,,,,
1208964923889922,2024-12-12,,2024-12-12,Power up 4,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,240.00,5,40xB,Liernin Enterprises LTD,,,,
1208964923889938,2024-12-12,,2024-12-12,Energy casino,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,200.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208964923953503,2024-12-12,,2024-12-12,LV bet,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,200.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208964923953519,2024-12-12,,2024-12-12,Energy casino 1,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,100.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208964924047150,2024-12-12,,2024-12-12,Lvbet 2,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"CARD, SKRILL CARD, Mifinity",200.00,100.00,5,30xDB,Fairload Ltd +Probe Investments,,,,
1208964924047166,2024-12-12,,2024-12-12,,Main project IRE,,,,,,—,Main project SWISS,,,,,,,,,,,Next to You B.V,,,,
1208965051472582,2024-12-12,,2024-12-12,Betway,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"SKRILL CARD, Mifinity, Luxon",50.00,50.00,7.5,30xB,Betway LTD,,,,
1208965051472598,2024-12-12,,2024-12-12,Betway 2,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"SKRILL CARD, Mifinity, Luxon",50.00,50.00,7.5,30xB,Betway LTD,,,,
1208965052091657,2024-12-12,,2024-12-12,Betway 3,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,"SKRILL CARD, Mifinity, Luxon",50.00,50.00,7.5,30xB,Betway LTD,,,,
1208965052091673,2024-12-12,,2024-12-12,Spinz,Main project IRE,,,,,,—,Main project SWISS,,,,Low,Withdraw,"Mifinity, SKRILL",300.00,300.00,,40xB,Rootz,,,,
1208965052165700,2024-12-12,,2024-12-12,,Main project IRE,,,,,,—,Main project SWISS,,,,,,,,,,,Njord Ventures BV,,,,
1208965052165708,2024-12-12,,2024-12-12,Zoome 1,Main project IRE,,,,,,"100% bonus, dep 250-350
60-80% bonus dep 200-250
50% bonus dep 150-200",Main project SWISS,,,,,Not started,"CRYPTO, Mifinity, SKRILL",,,5,40xB,DAMA NV,10000,,,
1208965052233885,2024-12-12,,2024-12-12,Zoome 2,Main project IRE,,,,,,"100% bonus, dep 250-350
60-80% bonus dep 200-250
50% bonus dep 150-200",Main project SWISS,,,,,Not started,"CRYPTO, Mifinity, SKRILL",,,5,40xB,DAMA NV,10000,,,
1208965052233898,2024-12-12,,2024-12-12,Zoome 3,Main project IRE,,,,,,"100% bonus, dep 250-350
60-80% bonus dep 200-250
50% bonus dep 150-200",Main project SWISS,,,,,Not started,"CRYPTO, Mifinity, SKRILL",,,5,40xB,DAMA NV,10000,,,
1208965052233911,2024-12-12,,2024-12-12,Zoome 4,Main project IRE,,,,,,"100% bonus, dep 250-350
60-80% bonus dep 200-250
50% bonus dep 150-200",Main project SWISS,,,,,Not started,"CRYPTO, Mifinity, SKRILL",,,5,40xB,DAMA NV,10000,,,
1208965052289680,2024-12-12,,2024-12-12,olympecasino.com,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,,,,,,,,,,
1208965052289688,2024-12-12,,2024-12-12,Wintopia Welcome Bonus Pack 1,Main project IRE,,,,,,"Play with real funds, if u lose activate bonus",Main project SWISS,,,,,Testing,"CARD, Mifinity, SKRILL",300.00,300.00,5,50xB,Altcore,10xB,,,
1208965052363395,2024-12-12,,2024-12-12,Winnerz,Main project IRE,,,,,,—,Main project SWISS,,,,,Testing,SKRILL,200.00,200.00,3,15xdb,Hitz Gaming,,Skrill,,
